2022-08-26 01:21:18,809 INFO  ExportHelperExtension.cs: 1402 - Fixing 47
2022-08-26 01:21:18,810 INFO  ExportHelperExtension.cs: 1409 - Component 47 is already fixed
2022-08-26 01:21:18,810 INFO  ExportHelperExtension.cs: 1402 - Fixing 46
2022-08-26 01:21:18,811 INFO  ExportHelperExtension.cs: 1409 - Component 46 is already fixed
2022-08-26 01:21:18,812 INFO  ExportHelperExtension.cs: 1402 - Fixing 39
2022-08-26 01:21:18,812 INFO  ExportHelperExtension.cs: 1409 - Component 39 is already fixed
2022-08-26 01:21:18,813 INFO  ExportHelperExtension.cs: 1402 - Fixing 28
2022-08-26 01:21:18,814 INFO  ExportHelperExtension.cs: 1409 - Component 28 is already fixed
2022-08-26 01:21:18,814 INFO  ExportHelperExtension.cs: 1402 - Fixing 36
2022-08-26 01:21:18,815 INFO  ExportHelperExtension.cs: 1409 - Component 36 is already fixed
2022-08-26 01:21:18,816 INFO  ExportHelperExtension.cs: 1402 - Fixing 44
2022-08-26 01:21:18,816 INFO  ExportHelperExtension.cs: 1409 - Component 44 is already fixed
2022-08-26 01:21:18,817 INFO  ExportHelperExtension.cs: 1402 - Fixing 43
2022-08-26 01:21:18,818 INFO  ExportHelperExtension.cs: 1409 - Component 43 is already fixed
2022-08-26 01:21:18,818 INFO  ExportHelperExtension.cs: 1402 - Fixing 34
2022-08-26 01:21:18,819 INFO  ExportHelperExtension.cs: 1409 - Component 34 is already fixed
2022-08-26 01:21:18,820 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2022-08-26 01:21:18,820 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2022-08-26 01:21:19,265 INFO  ExportHelperExtension.cs: 832 - R1: 0, 0
2022-08-26 01:21:19,267 INFO  ExportHelperExtension.cs: 841 - R2: 0, 0
2022-08-26 01:21:19,267 INFO  ExportHelperExtension.cs: 849 - L1: 0
2022-08-26 01:21:19,268 INFO  ExportHelperExtension.cs: 857 - L2: 0
2022-08-26 01:21:22,446 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent base_link to child link1 failed
2022-08-26 01:21:24,327 INFO  ExportHelperExtension.cs: 347 - Creating joint link2
2022-08-26 01:21:24,328 INFO  ExportHelperExtension.cs: 1397 - Fixing components for link1
2022-08-26 01:21:24,329 INFO  ExportHelperExtension.cs: 1402 - Fixing 35
2022-08-26 01:21:24,329 INFO  ExportHelperExtension.cs: 1409 - Component 35 is already fixed
2022-08-26 01:21:24,330 INFO  ExportHelperExtension.cs: 1402 - Fixing 34
